obsDate,SPRealIndex,sp12fwd,sp36fwd,sp60fwd,sp84fwd,sp120fwd,SPRealValuation,date,next_date,SPValuationLevel
19390930,159.766240952208,-0.15597003269953,-0.158877854784884,-0.03995487591701,-0.021953410290868,-0.026376302712037,824.483126287868,09/30/1939,10/31/1939,fair
19391031,162.623780425798,-0.162479646345091,-0.147018553000979,-0.038591916900699,-0.03022306865444,-0.024733238241948,850.508951270697,10/31/1939,11/30/1939,fair
19391130,159.799115141059,-0.127289310489481,-0.138980334359318,-0.036477005612651,-0.031586466086358,-0.022025549785756,835.034136416042,11/30/1939,12/31/1939,fair
19391231,156.094374984661,-0.148744215651033,-0.132230047435052,-0.028747475633437,-0.025469257220756,-0.016248101680547,812.525314809272,12/31/1939,01/31/1940,fair
19400131,156.402965306258,-0.148264876086642,-0.115660355468042,-0.02332463405804,-0.024942202817571,-0.013948018229432,819.559321561387,01/31/1940,02/29/1940,fair
19400229,154.359212874888,-0.190395714062757,-0.094339181158563,-0.01421348024328,-0.017721492829961,-0.01067051141247,808.304910758002,02/29/1940,03/31/1940,fair
19400331,153.549027921108,-0.186415821480359,-0.087321677506065,-0.013226523006953,-0.025276286669159,-0.009705207205574,804.787907381944,03/31/1940,04/30/1940,fair
19400430,155.151500266455,-0.224809527633186,-0.083845749181796,-0.010279881028815,-0.031869164838955,-0.007906566906671,818.855920886176,04/30/1940,05/31/1940,fair
19400531,133.863636988923,-0.126585748674604,-0.026876146458861,0.025903140949855,-0.013697845763484,0.009815820539796,661.997570313994,05/31/1940,06/30/1940,fair
19400630,121.561550781368,-0.024157013812339,0.010932848500805,0.04741648614033,0.004300034226948,0.020879415030841,570.555482536488,06/30/1940,07/31/1940,cheap
19400731,126.5641157004,-0.014061925387572,0.006337487211216,0.034790495632494,0.006010711405821,0.007949484439803,607.835718322702,07/31/1940,08/31/1940,fair
19400831,129.311016171259,-0.051919145637031,-0.015495333719264,0.031142961406182,-0.001754973294482,0.010941643607845,627.530937228626,08/31/1940,09/30/1940,fair
19400930,134.847495126611,-0.0996510496367,-0.024047523845333,0.036180494825633,-0.014452195395534,0.009863571431816,666.921375040475,09/30/1940,10/31/1940,fair
19401031,136.200726094913,-0.154874514277263,-0.030094739898782,0.042677245662752,-0.012181428348938,0.012196541864453,675.362183143014,10/31/1940,11/30/1940,fair
19401130,139.458395957924,-0.217761424649639,-0.052622408396256,0.04454357798593,-0.017693985137972,0.009268880778909,697.167604074573,11/30/1940,12/31/1940,fair
19401231,132.87623961003,-0.236813378112056,-0.032838504620555,0.057171737847781,-0.014855077835942,0.012604190073544,645.819354784127,12/31/1940,01/31/1941,fair
19410131,133.213899035542,-0.233225372742155,-0.023216823455252,0.064994218446927,-0.018808258614674,0.018047074980398,645.115954108916,01/31/1941,02/28/1941,fair
19410228,124.969880317408,-0.212678791709636,-0.004264292316894,0.080557974033628,-0.015649087345329,0.027186934309623,581.809893339874,02/28/1941,03/31/1941,fair
19410331,124.925059743684,-0.263846825170774,0.005239747120345,0.071824354098682,-0.012929514133892,0.025157845516006,578.996290639027,03/31/1941,04/30/1941,fair
19410430,120.271964779973,-0.271085153658906,0.010374233155474,0.09245648217214,0.000653851839834,0.030499981975505,541.716054852814,04/30/1941,05/31/1941,cheap
19410531,116.918408280375,-0.250232135262794,0.026075320974638,0.098019549612015,0.011026182031453,0.033135233580551,514.283428519562,05/31/1941,06/30/1941,cheap
19410630,118.624986720093,-0.223115390759093,0.035136822530427,0.091160383647934,0.013668876500921,0.029914935859305,522.724236622101,06/30/1941,07/31/1941,cheap
19410731,124.784380548677,-0.238082762154128,0.02480269912538,0.061809421414542,0.00121855060647,0.026576888724188,563.521475784373,07/31/1941,08/31/1941,cheap
19410831,122.597298690191,-0.233123591887537,0.025975275299663,0.057250170129539,-0.001005071389042,0.032880971953206,543.826256878448,08/31/1941,09/30/1941,cheap
